Provinsi,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Aceh,42298,1093,3078,4171
Sumatera Utara,78892,2661,10148,12809
Sumatera Barat,43136,1458,3833,5291
Riau,44791,1637,4615,6252
Jambi,24993,947,2936,3883
Sumatera Selatan,58749,1535,4867,6402
Bengkulu,14358,808,2296,3104
Lampung,58423,2469,8758,11227
Kepulauan Bangka Belitung,8806,510,1491,2001
Kepulauan Riau,12437,...,...,...
DKI Jakarta,50776,3038,9060,12098
Jawa Barat,372723,10826,26677,37503
Jawa Tengah,271452,16808,48947,65755
DI Yogyakarta,26030,1344,3944,5288
Jawa Timur,316103,18581,43289,61870
Banten,79252,2302,8099,10401
Bali,3115,...,...,...
Nusa Tenggara Barat,34657,1275,3580,4855
Nusa Tenggara Timur,3533,155,296,451
Kalimantan Barat,23025,846,3403,4249
Kalimantan Tengah,13941,405,1190,1595
Kalimantan Selatan,27401,824,2586,3410
Kalimantan Timur,25030,1775,5237,7012
Kalimantan Utara,4782,...,...,...
Sulawesi Utara,7369,341,957,1298
Sulawesi Tengah,18236,425,1185,1610
Sulawesi Selatan,61904,2991,9706,12697
Sulawesi Tenggara,16058,699,2069,2768
Gorontalo,10139,318,1134,1452
Sulawesi Barat,8366,...,...,...
Maluku,6571,71,154,225
Maluku Utara,6981,136,340,476
Papua Barat,1984,...,...,...
Papua,4035,429,1095,1524
Indonesia,1780346,76707,214970,291677
,,,,
Catatan,,,,
1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2020 masih bergabung dengan Provinsi Riau/Data of divorces 2020 were included in Riau Province6Data cerai 2020 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2020 were included in Nusa Tenggara Barat Province7Data cerai 2020 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2020 were included in Kalimantan Timur Province8Data cerai 2020 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2020 were included in Sulawesi Selatan Province9Data cerai 2020 masih bergabung dengan Provinsi Papua/Data of divorces 2020 were included in Papua Province,,,,
